iter	Passed	Remaining
0	178	177941
1	181	90806
2	185	61690
3	190	47448
4	194	38621
5	197	32665
6	200	28428
7	203	25173
8	206	22752
9	209	20762
10	212	19090
11	215	17702
12	217	16539
13	221	15618
14	225	14798
15	229	14119
16	233	13522
17	238	12986
18	241	12494
19	246	12070
20	250	11675
21	254	11329
22	258	10961
23	260	10610
24	263	10287
25	266	9981
26	270	9734
27	273	9502
28	277	9280
29	279	9045
30	282	8822
31	284	8617
32	287	8426
33	290	8249
34	293	8086
35	295	7919
36	298	7765
37	302	7659
38	306	7560
39	311	7471
40	315	7371
41	318	7262
42	322	7173
43	325	7082
44	329	6995
45	334	6929
46	336	6826
47	339	6735
48	343	6658
49	346	6585
50	350	6522
51	353	6448
