iter	Accuracy	Logloss
0	0.7894736842	0.674447524
1	0.7879256966	0.6574024848
2	0.7879256966	0.6411177917
3	0.7879256966	0.627410926
4	0.7879256966	0.6149230884
5	0.7879256966	0.6034565287
6	0.7879256966	0.5928545977
7	0.7879256966	0.5844118135
8	0.7879256966	0.5749995645
9	0.7879256966	0.5672272238
10	0.7879256966	0.5597429353
11	0.7879256966	0.5540339548
12	0.7879256966	0.5470855802
13	0.7879256966	0.5423250902
14	0.7879256966	0.5376837538
15	0.7879256966	0.5324888423
16	0.7879256966	0.5283593587
17	0.7879256966	0.5245571514
18	0.7879256966	0.5216756588
19	0.7879256966	0.5187664128
20	0.7879256966	0.515394583
21	0.7879256966	0.5127636071
22	0.7879256966	0.5097525438
23	0.7879256966	0.5073452393
24	0.7879256966	0.5048712863
25	0.7879256966	0.5029428334
26	0.7879256966	0.5004204122
27	0.7879256966	0.4983229707
28	0.7879256966	0.496139935
29	0.7879256966	0.4949026344
30	0.7879256966	0.4927865537
31	0.7879256966	0.4909402793
32	0.7879256966	0.4903322671
33	0.7879256966	0.4887270151
34	0.7879256966	0.4874215787
35	0.7879256966	0.485891137
36	0.7879256966	0.4842171113
37	0.7879256966	0.483114493
38	0.7879256966	0.4814969695
39	0.7879256966	0.4807106579
40	0.7879256966	0.4792997314
41	0.7879256966	0.4773404161
42	0.7879256966	0.4765233747
43	0.7879256966	0.4756450328
44	0.7879256966	0.4749542594
45	0.7879256966	0.4742746438
46	0.7879256966	0.4721680735
47	0.7879256966	0.4717189466
48	0.7879256966	0.469774902
49	0.7879256966	0.4688362468
50	0.7879256966	0.4679791021
51	0.7879256966	0.4671883209
