iter	Passed	Remaining
0	150	150813
1	158	78893
2	164	54724
3	169	42208
4	175	34950
5	180	29975
6	186	26492
7	190	23680
8	195	21572
9	202	20003
10	207	18673
11	212	17512
12	217	16547
13	222	15654
14	224	14762
15	227	14003
16	231	13380
17	233	12755
18	236	12204
19	239	11715
20	241	11279
21	244	10863
22	247	10496
23	249	10143
24	252	9851
25	255	9566
26	258	9304
27	261	9068
28	263	8836
29	266	8625
30	269	8426
31	272	8250
32	276	8091
33	278	7923
34	281	7760
35	284	7606
36	287	7477
37	290	7346
38	293	7225
39	295	7095
40	298	6973
41	301	6865
42	303	6757
43	306	6662
44	309	6568
45	312	6478
46	315	6397
47	318	6314
48	321	6245
49	324	6161
50	326	6079
51	329	6001
